,text,username,timestamp,Unnamed: 0
0,"UPDATED: Average monthly bills for a bachelor in the UK (Birmingham July 2024)

Rent £700 (1 bed apartment)
Council Tax £110
Energy (gas/electric) £150
Water £40
TV license £15
Transportation £150
Wifi/mobile date £80
Groceries £300
Clothing £300
Entertainment £200

Total £2045",SK 🇬🇧🇬🇧,Sat Jul 06 09:31:56 +0000 2024,
1,"@chu_chu_ezekwem I know someone in London. His rent alone is 1,800. Assuming he earns 3,500 after tax . He will be left with 1,700. From 1,700, you will deduct council tax, water bill, Energy bill, car insurance, groceries shopping, fuel. The person won’t even have 500 to save.",ONYEDIKACHUKWU ANAMBRA,Sat Feb 10 20:18:52 +0000 2024,
2,"Uk 🇬🇧 is not for the weak 😂😞 
(35,000 per annum)
Average Salary after tax - £2,265 per month 
Rent- £1350
Energy &amp; water bill - £170
Council Tax - £225
WiFi &amp; Phone bill - £120
Groceries- £200
Car insurance -£150
Car tax- £35
⛽️ Fuel- £150
Subscriptions-£80
Continue 👇",👑ℂ𝔸𝔹𝕆 EMPIRE,Sat Feb 10 09:45:56 +0000 2024,
3,"Rent 
Council Tax 
Energy 
Water 
TV license 
Transportation 
Wifi/mobile 
Groceries 
Clothing 
Car insurance 
Car Finance 
Black tax 

If she can’t do 50/50, she’s not ready to support her man. 

Nigerian men also need a support system. 

Bills dey choke.",🎙OLUOMO OF DERBY 🇳🇬 🇬🇧,Mon Jan 22 16:31:54 +0000 2024,
4,"Rent: 0
Groceries:315
Cleaner (3h weekly):182
Council tax: 160
Energy:114
Broadband:40
Water: 32
Home insurance: 29
Trading/Pension  account:22
2 O2 mobile lines, 10gb: 16
TV licence: 13
Netflix:11
Amazon Prime: 8
Garden bin (council):5
NY times : 2
Apple 60gb:1
Total: 952/2=476",Ornicar,Fri Jan 19 13:35:01 +0000 2024,
5,"@hewantswealth £1050pm - RENT 🏡 
£200pm - CAR 🚗 
£480pm - Groceries 🛒🥬 
£0pm - Entertainment 💃🏾 
£0pm - Dating 👫🏾
£150pm - Energy bill⚡️
£35pm - Mobile Phone
£0pm - Gym 🏋🏾‍♂️ 
£0pm - S&amp;S ISA 📈
£0pm - Life Insurance
£150pm -  Council Tax
£35 pm - Water Bill

Live in the real World chump",Carl Jackson,Tue Dec 05 20:15:34 +0000 2023,
6,"Council tax, energy bill, health insurance, phone and Internet bills,water,road tax, Car insurance, Rent, groceries &amp; still Unbearable Cold.Honestly UK would drain you. Now I know that Nigeria is blessed.",Ehi Aisagbonhi,Sun Dec 03 13:24:17 +0000 2023,
7,"@HeatherChloeDog @DrFrancesRyan Surprising. Most people who are disabled or chronically ill are able to just afford rent, council tax, water, energy, phone bills. Small amount for groceries which are getting so expensive. I’m lucky family takes me to hospital appts transport so expensive.",Becklescake 😴,Sun Nov 26 07:09:23 +0000 2023,
8,@JTAdeyemi Council tax. Energy. Gas. Water. Transport. Insurance. Broadband. Phone bills. Student finance &amp; debt repayments (if you have) Unfortunately life isn’t just rent and groceries.,‘24.,Sat Oct 21 18:59:38 +0000 2023,
9,"No Rishi Sunak, I’ll tell you what most of us are up against; Essential bills like #mortgage #rent #energy #water #counciltax #groceries #fuel … that we can’t pay.

Have you EVER, EVER received a bill that you didn’t have the means to pay? Have you? 

No! Thought not!   #r4today",Baffled Ape,Thu Aug 31 07:11:28 +0000 2023,
